label,tweet
1,"thunderstorm 14 miles west of cherrygrove and thepines of fireisland, moving east at 30-35mph at 11:25pm. it wi\xe2\x80\xa6"
1,"thunderstorm alert: dust storm hits faridabad, dark sky, visibility zero, power supply disrupted. thunderstorm\xe2\x80\xa6"
1,"rt  check out the live status of lightning and thunderstorm across chattisgarh ,odisha near bhilal ,rayagada, balang\xe2\x80\xa6"
0,lovegr right now. thunderstorm spring\xe2\x80\xa6
1,great seasonopener last night w that thunderstorm yonkers was rumbling tistheseason
0,it\xe2\x80\x99s been too long since one of these have been seen..one of the quietest chase years ever. photo from 5/16/15\xe2\x80\xa6
1,current radar map 5:10pm edt see this map live at  weather news humid hot steam\xe2\x80\xa6
1,"rt  flights delayed, trees uprooted as delhi braces for high-intensity thunderstorm  thunderstorm"
1,rajasthan: bikaner collector issued thunderstorm alert for bikaner for the next 3 days.
1,"squall, thunderstorm in next two days: imd\n"
1,he failed again .. \n11 killed \xf0\x9f\x98\xa2\nthunderstorm \nduststorm \nindia
1,heavyrain  and thunderstorm in coimbatore
0,thunderstorm  eastern_montana \nit seems  downpour  is inadequate for this thunderstorm glut of water.
1,hatrick thunderstorm rains in mangalore with first half century of 2018:\nmangalore ap 64mm today. \nyesterday saw\xe2\x80\xa6
1,"i\ m running out of  whooaa, nellies  this morning!  thunderstorm supercell severeweather nebraska newx"
1,it s getting windy outside. stay safe! toronto thunderstorm weatheralert
1,today s weather in madurai :\npartly cloudy and hot day.\xe2\x98\x80\xef\xb8\x8f \nmax: 38/39\nmin: 25/26\nisolated convective\xe2\x80\xa6
1,it s seems thor is coming to delhi \n\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\nrakeshkanwaria \nthunderstorm
0,what the hell happened?!! cannes2018 thunderstorm
1,be safe typhoon alert13states besafe thunderstorm
1,cold front slipping east with a few showers and thunderstorm is possible across the tri-state tonight into saturda\xe2\x80\xa6
1,"severe storms are possible this week, but threat will not be as widespread as last week:  weather us thunderstorm"
1,no power 4 12hrs following thunderstorm at\xe2\x80\xa6
1,"rt  thunderstorm, hail likely to lash these places in odisha\n"
1,trees falling on cars due to thunderstorm in delhi
0,rt  be safe \xf0\x9f\x99\x8f\xf0\x9f\x8f\xb thunderstorm
0,"when thunderstorms develop, they sometimes split into two. after the split, the new storms can have very different\xe2\x80\xa6"
1,how does kala khatta dotted condom looks like thunderstorm kohinoor durex blackpanther dottedcondom \xf0\x9f\x91\x87\xf0\x9f\x8f\xb
1,rt  thunderstorm live from noida
1,"rt  check out the live lightning and thunderstorm across chhattisgarh and odisha near jagdalpur, kirandul, and umerk\xe2\x80\xa6"
0,rt  delhi govt has put search and rescue teams on standby in the wake of the met dept issuing a warning of heavy rain and\xe2\x80\xa6
1,thunderstorm and lightening with squally winds in delhi ncr and around. please stay safe.
1,"this storm has been teasing me for three days, and it just won t break. daily haiku 1007. (c) devon strang haiku\xe2\x80\xa6"
1,rt  isolated thunderstorm west of electroniccity area.
1,"rt  while camping in  yourshot photographer, louis shackleton caught this thunderstorm beyond the chisos mounta\xe2\x80\xa6"
1,current radar map 12:25pm edt see this map live at  weather news humid hot steam\xe2\x80\xa6
1,rt  appeals to the people to staysafe during duststorm  by following simple tips. duststorms dustdevil thundershow\xe2\x80\xa6
1,"\xe2\x80\x9cthe meteorological department has warned of thunderstorm between 7 and 8 may, following which the state governmen\xe2\x80\xa6"
1,"rt  delhi thunderstorm live updates: storm, rains predicted in northern india today; metro, rail, flights servi\xe2\x80\xa6"
1,rt  10 may (day 3): thunderstorm accompanied with squall (wind speed reaching 50\xc2\xad-70 kmph) very likely at isolated places over\xe2\x80\xa6
1,trees uprooted during sunday s thunderstorm delhi\nphotos:
1,severe thunderstorm warning now in effect toronto i m tracking a thunderstorm moving ne near  brampton &amp; mississ\xe2\x80\xa6
1,"rt  check out the live status of lightning and thunderstorm across karnataka, tamilnadu and kerala :"
1,testyourknowledge of lightning protection \xe2\x80\x93 view video at  lightningsafety homesafety\xe2\x80\xa6
1,rt  man tornado watch and thunderstorm warning. this sucks we were just getting into that awesome gamecube incredibles \ngam\xe2\x80\xa6
1,severe thunderstorm watch \xe2\x80\x93 be ready view the videos at  wvwx pawx ohwx dcwx mdwx\xe2\x80\xa6
,rt  dust storm hits delhi and haryana..\nmay guru sahi keep you all safe. \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\n\nstormalert storm thunderstorm
1,missed the cskvsrh match due to thunderstorm \njust watched it on  \na special innings from\xe2\x80\xa6
1,(11:36pm thursday): thunderstorm threat now has ended for nyc. it continues for longisland until about 12:30am.\xe2\x80\xa6
1,"rt  hello, delhi. no, not that i\xe2\x80\x99m disappointed but where is the storm? \ndelhi delhiweather thunderstorm"
0,increase in thunderstorm /showers activity very likely from today in interior and parts of south coastal\xe2\x80\xa6
1,rt  todays view of mohali . thunderstorm in mohali. its not even safe to outside still capture some of moments htt\xe2\x80\xa6
1,upgrades thunderstorm warning for may 7 ..  via
0,hearing scary stuff regarding the duststorm thunderstorm in delhi ncr
1,"oh what a day, what a lovely day colorado thunderstorm"
1,"rt  june 03, 2015: wyoming beautiful lp supercell thunderstorm  stormtours stormchase stormchasing"
1,"massive duststorms, thunderstorm hit delhi, north india; see pics\n"
1,classes till vii to remain close on may 8 due to thunderstorm alert in agra
1,wooah that was dope! thunderstorm
1,mha issues warning about fresh thunderstorm in 4 states; death toll rises to 124 in 2 days - mijaaj mha
1,nothing like a good thunderstorm at night. much needed rain but an amazing light show as well! weathernerd
1,\nwatching your 80s classic live in delhi\n\nthunderstorm in delhi thunder
1,"southwest monsoon to hit kerala on may 28; dust storm, squall likely in north india today  thunderstorm"
1,the weather office has warned of more thunderstorms for the next two days after at least 60 people died in dust sto\xe2\x80\xa6
1,"look at that lightning!\xe2\x9a\xa1\xef\xb8\x8ffirst good thunderstorm of the year out of thornton, co. cowx"
1,just missed us thunderstorm
1,bayview/wellington closed coz of this mishap. toronto onstorm thunderstorm windwarnings richmondhill aurora
1,"rt  oh what a day, what a lovely day colorado thunderstorm"
1,delhistorm the temperature has dropped significantly and widespread dust with drizzle around delhi and ncr. can t\xe2\x80\xa6
1,rt  \xf0\x9f\x98\xb0 finally \xf0\x9f\x8c\xaa storm in delhi  ncr gurugram rain # powercut\n#thunderstorms thunderstorm weatheralert \xe0\xa4\xa4\xe0\xa5\x82\xe0\xa4\xab\xe0\xa4\xbc\xe0\xa4\xbe\xe0\xa4\xa8 dusts\xe2\x80\xa6
1,today s weather forecast from  with three live cams and weather data here:  p\xe2\x80\xa6
1,duststorms hits delhi and haryana thunderstorm noida\n#gurugram ghaziabad
1,"a strong thunderstorm will affect the boxed area, just north of harrisburg, pennsylvania, through 4:05am et. \xe2\x9a\xa1\xef\xb8\x8f\xe2\x9a\xa1\xef\xb8\x8f"
1,thunderstorm delhi just hit by storm??
1,heavy rains \nmizoram\n#thunderstorm heavy rain \n
1,thunderstorm moving through gurgaon.\n\nstormalert
0,i\xe2\x80\x99m probably at the point i need to just go chase any little storm day for awhile locally just to have some new ima\xe2\x80\xa6
1,i miss michigan thunderstorms michigan annarbor thunder lightning thunderstorm love expat expatlife
,rt  thunderstorm\n\nmany trees have been grounded on dwarka - gurgaon outer road.\n\nppl be careful.
1,slow-mo  dan drone  lightning strikes looking north into davis county as a nice thunderstorm moved through the ar\xe2\x80\xa6
1,there is a  storm coming.. have you seen it? thunderstorm munich severeweather \xe2\x9b\x88\xf0\x9f\xa6\x8a
1,first thunderstorm of the season in kananaskis valley abstorm
1,thunderstorm alert issued for 4 districts in uttarakhand \n
0,"thunderstorm, lightning, heavyrain.. all is part of life."
1,"thunderstorm alert: dust storm, squall likely in north india hill states, says met department \n\n"
1,naudero into darkness due to rain with thunderstorm continues. sepco
1,nice lightning strike from a good thunderstorm the other night in eastlondonsa
1,"rt  supercell thunderstorm west of childress, texas yesterday evening taken by  weather sky naturephotogr\xe2\x80\xa6"
1,"check out the live status of lightning and thunderstorm across odisha near bhubaneswar, bhuban and bhadrak\xe2\x80\xa6"
1,cool with the sunset thunderstorm
1,thunderstorm may be in up\ntake care your self
1,thunderstorm\n#lightening\n#dust\n\nnow planes on delhi airport have to play black black like rani mukargi
1,alert over northindia: everything you must know; top updates
1,no filter. rainbow. beauty of nature..\n.\n.\nrainbow nature colors beauty sunset rain thunderstorm showers\xe2\x80\xa6
1,heavy thunderstorms and rains  in vijaynagar \n  \nthunderstorm rains heavyrains\xe2\x80\xa6
1,rt  met issues thunderstorm warning for 7 districts of odisha till 9.30 am
0,"rt  anvil crawler lightning from the kitzb\xc3\xbcheler horn mountain, austria july 2015.\n\ncredits: andreas schnederle-wagner \n\nl\xe2\x80\xa6"
1,"rt  thunderstorm alert: imd says# uttarakhand, j&amp;k and himachalpradesh likely to witness squall tomorrow\n"
0,"what a shame.  sends satellites into space to warn of exactly these excigencies, however, agencies on ground f\xe2\x80\xa6"
1,thunderstorm with rain and gusty winds upto 60-70kmph would occur over and adjoining areas of entire part of\xe2\x80\xa6
1,"duststorm delhi,noida,gurugram,rajasthan ppl stay indoors &amp; stay safe thunderstorm storm duststorm dust storm staysafe"
1,"uluberia, howrah:04 children died and 01 child got injured due to lightning and thunderstorm in uluberia distric\xe2\x80\xa6"
0,watch: humungous sandstorm in bikaner is a scene straight out of horror movies\n\nthunderstorm\n#storm\n#weather\n
0,these balls aren\xe2\x80\x99t moving in a circle they are moving in straight lines.. pls look closely. perception and reality\xe2\x80\xa6
0,this duststorm looks really scary.. guess mr. noah you need to get your arc ready to save humanity now \n\nthunderstorm \nendoftheworld
1,"rt  spectacular near drunk lightning over cres island, in croatia over the adriatic sea on the 3rd may! thanks for the re\xe2\x80\xa6"
1,what a fun night! ues to fidi to brooklyn and home in bed by 10pm! winning &amp; fuck this thunderstorm
1,crazy hail storm just came thru. this storm is really putting the new roof to test. be safe out there.\n\n
1,"thunderstorm  very likely  in uttarakhand, himachal, rajasthan, up today"
1,07 may(day 2):duststorm very likely at isolated places over rajasthan.\n\nheavy rain very likely  at isolated place\xe2\x80\xa6
1,thunderclouds in ncr region as of 6:30 pm (13/05). dust and thunderstorm to persist for some more time.
1,"and it s storming, again..\xf0\x9f\x98\x92\n\nthe constant thunder too. the radar shows it s just going to get worse and probably s\xe2\x80\xa6"
1,last night\xe2\x80\x99s sunset after the thunderstorm \xe2\x9b\x88 midwesternlife\xe2\x80\xa6
1,thunderstorm sonamkishadi \n\nwonder which one made it to the headlines?
1,"thunderstorm with rain and strong winds would occur over ncr including hisar, kaithal, jind, kurukshetra,\xe2\x80\xa6"
1,all schools in ghaziabad district to remain closed tomorrow following thunderstorm alert for the area.thunderstorm ghaziabad
,"thunderstorm accompanied with gusty winds very likely at isolated places over punjab, east uttarpradesh, bihar,\xe2\x80\xa6"
1,alert: lurking danger in delhi and surrounding areas; thunderstorm threat grows\nthunderstorm\xe2\x80\xa6
1,weather in new delhi. delhi rain thunderstorm toofan
1,rt  current radar map  7:05pm edt see this map live at  weather news humid hot steam storm h\xe2\x80\xa6
1,07 may (day 1): thunderstorm accompanied with squall and hail very likely at isolated places over jammu &amp; kashmir\xe2\x80\xa6
1,had a strong thunderstorm blow through here last night. was really\xe2\x80\xa6
1,\xf0\x9f\x8c\xaa storm in rajasthan \xf0\x9f\x98\xa7\nhope this dangerous storm doesn t do any damage \xf0\x9f\x99\x8f\nthunderstorms thunderstorm\xe2\x80\xa6
1,thunderstorm just hits gurugram\n#stormalert
0,use thunderstorm and capeindex for storm chasing on windy  re not stopping here and w\xe2\x80\xa6
0,even thor is cheering 4 the danish viking in denmark \xf0\x9f\x98\x84\xf0\x9f\x98\x82 rasmussen eurovision  thunderstorm
1,"rt  according to the weather office, as many as 26 districts in uttarpradesh may experience dust storms and thunderstorms w\xe2\x80\xa6"
1,toll rises to 12 in up thunderstorm
1,the rain stopped for 5 minutes and now it s come back again. thunderstorm
0,"schools in haridwar, ghaziabad and meerut are to remain shut today. duststorms thunderstorm \n\n"
1,"dear delhiweather,\ni would love mumbaiheat anyday compared to your scary thunderstorm \nno offense.\nmumbaikar"
1,fuck thunderstorm  tae s voice gonna save me ..
1,"rt  16 dead, 25 injured, 6 houses uprooted as thunderstorm wreaks havoc in western up"
1,"rt  weather changed in delhi-ncr, live visuals from karol bagh area. \n\nthunderstorm rain weather delhi"
1,thunderstorm hailstorm hits delhi weather picture of my garden in punjabi bagh new delhi
1,\xf0\x9f\x98\xb0 finally \xf0\x9f\x8c\xaa storm in delhi  ncr gurugram rain # powercut\n#thunderstorms thunderstorm weatheralert \xe0\xa4\xa4\xe0\xa5\x82\xe0\xa4\xab\xe0\xa4\xbc\xe0\xa4\xbe\xe0\xa4\xa8\xe2\x80\xa6
1,what a scary thunderstorm it was.\nscary night happymothersday scared
1,a little thunderstorm and hail action from last week at oskarblues anti\xe2\x80\xa6
1,feed24india thunderstorm and dust storm with wind speeds of up to 70 kmph  very likely  tomorrow in 26  distts of up: met officials.
1,the perfect soundtrack for a thunderstorm:\n
1,zoie and oliver watching the rain!\nrain thunderstorm funnydogs\xe2\x80\xa6
1,rt  you should take the time to access and watch the derecho awareness video found at  weather se\xe2\x80\xa6
1,and the thunderstorm has arrived!!\n\nstormalert stormlightarchive thunderstorm
1,thanks to the new del-jaipur highway travel was smooth till i hit the toll plaza. \nduststorm thunderstorm
1,"delhi thunderstorm live updates: storm, rains predicted in northern india today; metro, rail, flights se\xe2\x80\xa6"
1,thunderstorm be like acchedin
1,"cripes, the thunderstorm outside is shaking the whole building \xf0\x9f\x98\xb0"
1,"long term forecast predicts a \nthunderstorm on november 11, 2018 in washington, dc\n\nend the wars at\xe2\x80\xa6"
1,mother nature at it s finest \xe2\x9b\x88\xf0\x9f\x8c\xa7\xf0\x9f\x8c\xac\nsevereweather\n#pouringrain\n#thunderstorm thunderlightningshow\n#hobart\n#tasmania\xe2\x80\xa6
1,death toll in up thunderstorm rises to 12\n  thunderstorm \n
1,this thunderstorm calms me; like when i was at byodointemple and saw hundreds of koi and a gorgeous blackswan
1,| rt  newsalert || all educational institutions in up s meerut to remain closed tomorrow in view of thunderstorm alert in the\xe2\x80\xa6 |
1,"a thunderstorm moves across the flint hills near alma, kansas on wednesday, may 2. (ap photo/ orlin wagner)\n\nuse\xe2\x80\xa6"
1,"rt  before and during the strong thunderstorms in downtown austin! one of my coolest weather experiences yet, especially wit\xe2\x80\xa6"
1,thunderstorm enter in delhi ncr..
1,thunderstorm alert over northindia: everything you must know; top updates
1,started filming just at the right moment  thunderstorm lightningstrikes
1,rt  massive thunderstorm and squall has hit rajasthan and tripura. catch live updates here:  thunders\xe2\x80\xa6
1,alert! storm touted to hit delhi today afternoon. thunderstorm staysafe
1,rt  preparing your home for hail! - watch the informative video at  thunderstorm tstorm hailsto\xe2\x80\xa6
1,"rt  this beautiful photo shows a thunderstorm east of rapid city, south dakota last night: potd southdakota sdwx thunders\xe2\x80\xa6"
1,"thunderstorm in delhi, today again."
1,thunderstorm in greencastle.
1,north india with thunderstorm\n\nclearity wiped with duststorm \n\ndelhi and haryana close as effects gave the dose\xe2\x80\xa6
1,"the met department has forecast heavy rains, thunderstorm and squall in 13 states. thunderup thunderstorms thunderstorm squall"
1,rt  as many as 124 people lost their lives due to thunderstorm and lightning in five states earlier this week.
1,after rain effect today in bengaluru \nbangalorerains bangalore heavyrain thunderstorm \n
1,rt  met department right now \nduststorm thunderstorm
1,check out my new vids \xf0\x9f\x98\x99\nmondaymotivaton thunderstorm 3elieve mathematics study
1,"thunderstorm alert live updates: storm in north india, rains in haryana, weather forecast today; all details\xe2\x80\xa6"
1,it s coming.. inwx thunderstorm
1,any thunderstorm in delhi will first be a duststorm. are we ready? stormready stormalert weatheralert
1,the hills of kashmir himachal uttarakhand as well as the plains of punja haryana delhi north rajasthan and\xe2\x80\xa6
1,rt  garden news - now it started to rain but no thunderstorm - smells good - diy chaotic garden
1,rt  : 1\xe2\x83\xa3 retweet this\xe2\x9c\x94\xef\xb8\x8f\n2\xe2\x83\xa3 like this\xe2\x9c\x94\xef\xb8\x8f\n3\xe2\x83\xa3 follow all that like &amp; retweet\xe2\x9c\x94\xef\xb8\x8f\n4\xe2\x83\xa3 follow back all that follow you\xe2\x9c\x94\xef\xb8\x8f\n5\xe2\x83\xa3 turn my noti\xe2\x80\xa6
1,"thunderstorm is behaving like  ji\xe2\x80\x99s ache din, lots of talk about it but unable to see anything.. wai\xe2\x80\xa6"
1,"rt  duststorm, and thunderstorm are expected over delhi and its adjoining areas of noida, gurugram, ghaziabad, farida\xe2\x80\xa6"
1,rt  38 persons killed and 50 injured across up in sunday night s thunderstorm.
1,thanks to squall  thunderstorm  delhi ncr to get temporary relief from mosquito menace as all of them have blown away.
1,latest doppler weather radar and satellite imageries indicate that thunderstorm accompanied with hail and gusty su\xe2\x80\xa6
1,a slight relief is in sight for the parts of vidarbha on account of an isolated thunderstorm or rains after 24 ho\xe2\x80\xa6
1,"\xf0\x9f\x98\xb3, that\xe2\x80\x99s not good!! beautybodyandbusiness thunderstorm dmv\xe2\x80\xa6"
1,rt  trees uprooted during sunday s thunderstorm delhi\nphotos:
1,"dust storms and thunderstorms, which hit several states of the country on sunday, 53 people have died &amp; 65 have bee\xe2\x80\xa6"
1,ohh yayy! \xe2\x9b\x88\xef\xb8\x8f\xe2\x9b\x88\xef\xb8\x8f\xe2\x9b\x88\xef\xb8\x8f\xe2\x9c\xa8 thunderstorm\xe2\x80\xa6
1,rt  severe thunderstorm warning now in effect toronto i m tracking a thunderstorm moving ne near  brampton &amp; mississauga pr\xe2\x80\xa6
1,some lightening and thunder from last nights thunderstorm thunderstorms crnagora montenegro photography\xe2\x80\xa6
1,rt  these thunderstorm and duststorm activities are expected to last for a shorter duration and hence would not cause much\xe2\x80\xa6
1,rajdeep be like  masterstroke by mamta di. as there has been massive thunderstorm killing many ac\xe2\x80\xa6
1,rain rain go away!! thunderstorm
1,"joy is when a dust storm turns into a much awaited rain, and your body feels the respite from the scorching dry hea\xe2\x80\xa6"
1,rt  it\xe2\x80\x99s been too long since one of these have been seen..one of the quietest chase years ever. photo from 5/16/15 superce\xe2\x80\xa6
0,"rt  thunder, hear the thunder. onweer thunderstorm"
1,rt  after a taste of summer today we re tracking shower and thunderstorm chances starting later tonight.  join us at news4b\xe2\x80\xa6
1,rt  slow-mo  dan drone  lightning strikes looking north into davis county as a nice thunderstorm moved through the area th\xe2\x80\xa6
1,"rt  check out the live status of lightning and thunderstorm across odisha near bhubaneswar, bhuban and bhadrak :"
1,the ferocious winds yesterday in delhi spared the nests on the trees. nature is kind to the weak thunderstorm delhistorm
1,tonight\xe2\x80\x99s thunderstorm over the city nyc newyork wtc nbc4ny fog thunderstorm lightning
1,thunderstorm lights gone thunderstorm going to hit in few hours. sonipat haryana
1,the the thunderstorm has started here in delhi..
1,in lights of thunderstorm waiting for  ji to blame it on  and  to hijack karnatakaelections2018 \xf0\x9f\x98\x80\xf0\x9f\x98\x80\xf0\x9f\x98\x80\xf0\x9f\x98\x82\xf0\x9f\x98\x82
0,thunderboomers happening now. vermont thunderstorm
1,rt  strong veering of the winds from the surface to the mid levels of the atmosphere can cause a thunderstorm to rotate. \xe2\x80\xa6
1,"thunderstorm will ignite in north pakistan on monday &amp; will then move into northern and western parts of punjab, h\xe2\x80\xa6"
0,thunderstorm\nbrace yourself \nsomething big is coming
1,check out the live status of lightning and thunderstorm across india :  weathertweet\xe2\x80\xa6
1,looks like we got home just in time thunderstorm \xe2\x9b\x88
1,i so missed this. shelf cloud from tonight s thunderstorm in\xe2\x80\xa6
1,imd warned that thunderstorm and squall with wind speed of up to 70 kmph are  very likely  in uttarakhand and pa\xe2\x80\xa6
1,heavy rains and thunderstorm in rr nagar \nbangalorerains chilled thunderstorm heavyrain windstream \n
1,lowkey i m afraid of the noises that are coming..wind is hella fast .. also it broke my room s window so.. h\xe2\x80\xa6
1,sufficient thunderstorm moving through  right now. thunder and lightning and bands of heavy rain. 9-\xe2\x80\xa6
1,check out the live status of lightning and thunderstorm across india:\n  weathertweet\xe2\x80\xa6
1,delhi govt has put search and rescue teams on standby in the wake of the met dept issuing a warning of heavy rain\xe2\x80\xa6
1,rt  thunderstorm with rain &amp; strong winds hits delhi-ncr
1,rt  thunderstorm live updates: more than 40 flight diversions at delhi s indiragandhiinternational igi airport as bad wea\xe2\x80\xa6
1,rt  09 may (day 2):thunderstorm accompanied with squall  (wind speed reaching 50\xc2\xad-70 (kmph) very likely over assam &amp;\nmeghalay\xe2\x80\xa6
1,"left split hauler roaming over the kansas countryside. may 1, 2018. storm thunderstorm kswx\xe2\x80\xa6"
1,laying in bed watching the storm roll in. it\xe2\x80\x99s gonna be a good one. vermont thunderstorm ilovesummer \xe2\x9d\xa4\xef\xb8\x8f
1,i have never ever heard wind howling and screeching so eerily thunderstorm delhi duststorms
1,thunderstorm duststorm along with light rains likely in delhi ncr by late afternoon hours. sky conditions have\xe2\x80\xa6
0,rt  an amazing light show from yesterday evening\xe2\x80\x99s thunderstorms in\xe2\x80\xa6
1,those weather forecasters were focking right.\nthunderstorm
1,rt  after a break of few days bengaluru joins the pre monsoon thunderstorm party.  tomorrow is going to be even better day\xe2\x80\xa6
1,update: possibility of a thunderstorm in spots tomorrow 9th may in chennai  chennairains
1,looking really nice again for tomorrow ahead of some rain and thunderstorm chances later this week. latest\xe2\x80\xa6
1,"thunderstorms hit lucknow after waiting for many days,, dust.. winds..rain, and electricity supply disconnected\xe2\x80\xa6"
1,met issues thunderstorm warning for 10 districts odisha
1,"alert indian met department issues warning of thunderstorm in these states. so, take precautionary measures and if\xe2\x80\xa6"
1,thunderstorm hits delhi
1,"thunderstorm warning in south central nebraska, usa\n thunderstorm nebraska usa\xe2\x80\xa6"
0,: 1\xe2\x83\xa3 retweet this\xe2\x9c\x94\xef\xb8\x8f\n2\xe2\x83\xa3 like this\xe2\x9c\x94\xef\xb8\x8f\n3\xe2\x83\xa3 follow all that like &amp; retweet\xe2\x9c\x94\xef\xb8\x8f\n4\xe2\x83\xa3 follow back all that follow you\xe2\x9c\x94\xef\xb8\x8f\n5\xe2\x83\xa3 turn\xe2\x80\xa6
1,lovely sky delhi thunderstorm
1,people enjoying cool weather due to winds and light shower at india gate in delhi thunderstorm delhi indiagate
1,imd alert : thunderstorm accompanied by squall and hail likely to lash parts of northern and eastern india besides\xe2\x80\xa6
1,"| newsalert || tripura s khowai affected by thunderstorm. chief minister  says  1 person has died, 9 are\xe2\x80\xa6  |"
1,rt  imd had forecast duststorm and thunderstorm for delhi.\n
1,people of delhi and northern &amp; eastern india - stay safe. duststorm thunderstorm
0,"not all stroms come to disrupt ur life, some come to clear ur path.\ndelhistorm thunderstorm"
1,"slept late last night, don t want to go for mrng walk but my kittens not to let me to miss for walk, they woke me u\xe2\x80\xa6"
1,"severe thunderstorm watch 75 has been issued until 9 pm edt for portions of ny, pa, oh, and wv. thunderstorms ove\xe2\x80\xa6"
1,thunderstorm probably comes under ministry of railways..it\xe2\x80\x99s 5 hours late!
1,rt  17 persons died and 25 persons got injured due to lightning and thunderstorm in different districts of uttarpradesh.\n\nsou\xe2\x80\xa6
1,thunderstorm in noida. \n\ndust sprays. loadshedding. gloominess.\n\nyiyye! maggi. \n\nps: no thunder yet.
1,lightning strike gottigere bengalururains thunderstorm
1,"ack!!  that was some serious thunder!  heard it from my office at microsoft, and i m not near a window!  redmond thunderstorm"
1,"rt  in view of the warning of thunderstorm and rain between may 7 and may 8 by the met department, the haryana government\xe2\x80\xa6"
0,"whenever there is thunderstorm in your life , come and hide in india, you will be safe."
1,"after locally severe thunderstorms rattled portions of the midwest on wednesday, showers and a few heavy, gusty sto\xe2\x80\xa6"
1,"high wind watch / severe thunderstorm watch: tomorrow morning/afternoon, a severe dust_thunderstorm is expected\xe2\x80\xa6"
0,"rt  feeling cheated by meteorological  department. \n\nkids are running around at 35km/hr in house, whereas the maximum wind spee\xe2\x80\xa6"
1,rt  what is going on with india\xe2\x80\x99s crazy weather? weather india thunderstorm
1,videos of thunderstorm looks like a scene straight out of horror movies. watch via
1,"did you know? lightning can travel along phone &amp; electrical lines, so in a thunderstorm unplug electrical items,\xe2\x80\xa6"
0,rt  how to stay safe during a thunderstorm ? here are some dos and don ts\n\ndelhistorm thunderstorms staysafe sandstorm
1,rt  increase in thunderstorm /showers activity very likely from today in interior and parts of south coastal tamilnadu\xe2\x9b\x88\xef\xb8\x8f  \nmadura\xe2\x80\xa6
1,"rt  thunderstorm accompanied with gusty winds very likely at isolated places over west up, bihar,#westbengal &amp; sikkim, odish\xe2\x80\xa6"
1,13 may(day 4): thunderstorm accompanied with squall (wind speed reaching 50-\xc2\xad70 kmph) and hail very likely at isol\xe2\x80\xa6
0,i love falling asleep while listening to a thunderstorm \xe2\x9b\x88
,"rt  alert: scattered t-storm to persist in north india today (haryana, himachal, delhi). thunderstorm and dust moving toward\xe2\x80\xa6"
1,tis like the end of the world as we know it.. went to turn on the biglight to find it is already on - table lamp r\xe2\x80\xa6
1,"i checked twice for thunderstorm already, its just the west winds for now.\xf0\x9f\x98\x9d"
1,recently there was a thunderstorm in up that affected many people. our govt provided relief within 24 hours. did s\xe2\x80\xa6
1,38 persons killed and 50 injured across up in sunday night s thunderstorm.
1,"folks please avoid using metallic objects, corded telephones, running water or anything that could conduct electric\xe2\x80\xa6"
0,"the tescott, ks ef-3 wedge tornado. 05/01/18 what a beast!  captured this shot from a gravel ab\xe2\x80\xa6"
1,sandstorm in faridabad. electricity cut just now. delhi ncr gurgaon thunderstorm
1,it seems storm with rainshower will come in  few minutes in delhi ncr faridabad enjoying thandithandihawa\xe2\x80\xa6
